1,1,2,23
2,1,8,60
3,8,9,15
4,9,10,15
5,9,11,53
6,2,12,30
7,2,3,5
8,2,7,25
9,2,13,25
10,3,7,25
11,3,4,15
12,3,13,23
13,4,5,45
14,4,7,45
15,5,6,25
16,6,7,25
17,13,14,28
18,14,15,50
19,15,16,35
20,14,17,22
21,17,18,25
22,18,19,35
23,17,20,40
24,20,21,9
25,21,22,29
26,20,23,29
27,23,22,3
28,22,24,30
29,22,25,33
30,23,24,28
31,23,25,31
32,18,25,63
33,18,23,29
34,25,24,45
35,7,3,25
36,6,7,25
37,3,7,25
39,2,1,23
40,8,1,60
41,9,8,15
4,10,9,15
5,11,9,53
6,12,2,30
7,3,2,5
8,7,2,25
9,13,2,25
10,7,3,25
11,4,3,15
12,13,3,23
13,5,4,45
14,7,4,45
15,6,5,25
38,7,6,25
17,14,13,28
18,15,14,50
19,16,15,35
20,17,14,22
21,18,17,25
22,19,18,35
23,20,17,40
24,21,20,9
25,22,21,29
26,23,20,29
27,22,23,3
28,22,25,30
29,24,22,33
30,24,23,28
31,25,23,31
32,25,18,63
33,23,18,29
34,24,25,45
